Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards
1987,96.0,Nights in White Satin,Drama,"Gilman, Kenneth","Harris, Priscilla","Barnard, Michael",5.0,No
1989,87.0,Videodrome,Horror,"Woods, James","Harry, Deborah","Cronenberg, David",36.0,No
1991,96.0,Intimate Stranger,Mystery,"Russo, James","Harry, Deborah","Holzman, Allan",23.0,No
1986,110.0,Highlander,Science Fiction,"Lambert, Christopher","Hart, Roxanne","Mulcahy, Russell",8.0,No
1987,93.0,Bodycount,Action,"White, Bernie","Hassett, Marilyn",Unknown,51.0,No
1989,104.0,Tango & Cash,Action,"Stallone, Sylvester","Hatcher, Teri","Konchalovsky, Andrei",9.0,No
1970,94.0,There's a Girl in My Soup,Comedy,"Sellers, Peter","Hawn, Goldie","Boulting, Roy",41.0,No
1984,100.0,Swing Shift,Drama,"Russell, Kurt","Hawn, Goldie","Demme, Jonathan",81.0,No
1978,112.0,Foul Play,Comedy,"Chase, Chevy","Hawn, Goldie","Higgins, Colin",46.0,No
1982,109.0,Best Friends,Comedy,"Reynolds, Burt","Hawn, Goldie","Jewison, Norman",74.0,No
1972,109.0,Butterflies Are Free,Drama,"Albert, Edward","Hawn, Goldie","Katselas, Milton",82.0,Yes
1987,112.0,Overboard,Comedy,"Russell, Kurt","Hawn, Goldie","Marshall, Garry",6.0,No
1974,103.0,The Girl from Petrovka,Drama,"Holbrook, Hal","Hawn, Goldie","Miller, Robert Ellis",23.0,No
1992,102.0,Housesitter,Comedy,"Martin, Steve","Hawn, Goldie","Oz, Frank",14.0,No
1986,106.0,Wildcats,Comedy,"Keach, James","Hawn, Goldie","Ritchie, Michael",22.0,No
1984,100.0,Protocol,Comedy,"Sarandon, Chris","Hawn, Goldie","Ross, Herbert",53.0,No
1980,102.0,Seems Like Old Times,Comedy,"Chase, Chevy","Hawn, Goldie","Sandrich, Jay",49.0,No
1974,109.0,The Sugarland Express,Drama,"Johnson, Ben","Hawn, Goldie","Spielberg, Steven",28.0,No
1980,110.0,Private Benjamin,Comedy,"Assante, Armand","Hawn, Goldie","Zieff, Howard",61.0,No
1991,115.0,Deceived,Mystery,"Heard, John","Hawn, Goldie",Unknown,55.0,No
1931,95.0,Arrowsmith,Drama,"Colman, Ronald","Hayes, Helen","Ford, John",84.0,No
1972,78.0,Say Goodbye Maggie Cole,Drama,"McGavin, Darren","Hayward, Susan","Taylor, Jud",84.0,No
1964,132.0,Circus World,Drama,"Wayne, John","Hayworth, Rita","Hathaway, Henry",29.0,No
1952,98.0,Affair in Trinidad,Drama,"Ford, Glenn","Hayworth, Rita","Sherman, Vincent",49.0,No
1948,87.0,Lady from Shanghai,Mystery,"Welles, Orson","Hayworth, Rita","Welles, Orson",16.0,No
1940,81.0,Lady in Question,Drama,"Aherne, Brian","Hayworth, Rita","Vidor, Charles",57.0,No
1946,110.0,Gilda,Drama,"Ford, Glenn","Hayworth, Rita","Vidor, Charles",57.0,No
1948,98.0,The Loves of Carmen,Drama,"Ford, Glenn","Hayworth, Rita","Vidor, Charles",48.0,No
1990,105.0,Dick Tracy,Comedy,"Beatty, Warren","Headley, Glenne","Beatty, Warren",84.0,No
1964,130.0,Marnie,Drama,"Connery, Sean","Hedren, Tippi","Hitchcock, Alfred",2.0,No
1987,85.0,Hot Child in the City,Mystery,"Prysirr, Geof","Hendrix, Leah Ayres","Florea, John",0.0,No
1984,90.0,Johnny Dangerously,Comedy,"Piscopo, Joe","Henner, Marilu","Heckerling, Amy",3.0,No
1985,95.0,Stark,Mystery,"Surovy, Nicolas","Henner, Marilu","Holcomb, Rod",27.0,No
1949,84.0,Three Strange Loves,Drama,"Malmsten, Birger","Henning, Eva","Bergman, Ingmar",87.0,No
1964,170.0,My Fair Lady,Music,"Harrison, Rex","Hepburn, Audrey","Cukor, George",10.0,Yes
1960,123.0,The Unforgiven,Drama,"Lancaster, Burt","Hepburn, Audrey","Huston, John",32.0,No
1976,106.0,Robin & Marian,Action,"Connery, Sean","Hepburn, Audrey","Lester, Richard",6.0,No
1961,109.0,The Children's Hour,Drama,"Garner, James","Hepburn, Audrey","Wyler, William",60.0,No
1956,121.0,The Rainmaker,Drama,"Lancaster, Burt","Hepburn, Katharine","Anthony, Joseph",21.0,No
1952,95.0,Pat & Mike,Comedy,"Tracy, Spencer","Hepburn, Katharine","Cukor, George",48.0,No
1968,134.0,"Lion in Winter, THe",Drama,"O'Toole, Peter","Hepburn, Katharine","Harvey, Anthony",78.0,Yes
1991,132.0,The Sea of Grass,Western,"Tracy, Spencer","Hepburn, Katharine","Kazan, Elia",75.0,No
1967,108.0,Guess Who's Coming to Dinner,Drama,"Tracy, Spencer","Hepburn, Katharine","Kramer, Stanley",50.0,Yes
1957,153.0,Desk Set,Comedy,"Tracy, Spencer","Hepburn, Katharine","Lang, Walter",51.0,No
1975,107.0,Rooster Cogburn,Western,"Wayne, John","Hepburn, Katharine","Miller, Stuart",76.0,No
1981,109.0,On Golden Pond,Drama,"Fonda, Henry","Hepburn, Katharine","Rydell, Mark",23.0,Yes
1991,101.0,Adam's Rib,Comedy,"Tracy, Spencer","Hepburn, Katharine",Unknown,62.0,No
1991,116.0,Boom Town,Drama,"Tracy, Spencer","Hepburn, Katharine",Unknown,73.0,No
1991,145.0,Dragon Seed,Drama,"Tracy, Spencer","Hepburn, Katharine",Unknown,34.0,No
1991,115.0,Little Women,Drama,"Tracy, Spencer","Hepburn, Katharine",Unknown,22.0,No
1991,113.0,The Philadelphia Story,Comedy,"Tracy, Spencer","Hepburn, Katharine",Unknown,25.0,No
1991,112.0,Without Love,Comedy,"Tracy, Spencer","Hepburn, Katharine",Unknown,66.0,No
1991,113.0,Woman of the Year,Comedy,"Tracy, Spencer","Hepburn, Katharine",Unknown,12.0,No
1992,95.0,Juice,Drama,"Shakur, Tupac","Herron, Cindy","Dickerson, Ernest R.",31.0,No
1986,114.0,Hoosiers,Drama,"Hackman, Gene","Hershey, Barbara","Anspaugh, David",2.0,No
1987,112.0,Tin Men,Comedy,"Dreyfuss, Richard","Hershey, Barbara","Levinson, Barry",50.0,No
1988,163.0,The Last Temptation of Christ,Drama,"Dafoe, Willem","Hershey, Barbara","Scorsese, Martin",32.0,No
1991,99.0,Paris Trout,Drama,"Hopper, Dennis","Hershey, Barbara",Unknown,53.0,No
1988,87.0,Souvenir,Drama,"Plummer, Christopher","Hicks, Catherine","Reeve, Geoffrey",42.0,No
1966,120.0,A Man for All Seasons,Drama,"Shaw, Robert","Hiller, Wendy","Zinnemann, Fred",20.0,Yes
1986,90.0,Knights & Emeralds,Drama,"Leadbitter, Bill","Hills, Beverly","Emes, Ian",50.0,No
1989,83.0,Masque of the Red Death,Horror,"MacNee, Patrick","Hoak, Clare","Brand, Larry",9.0,No
1943,265.0,The Adventures of Smilin' Jack,Mystery,"Brown, Tom","Hobart, Rose","Taylor, Ray",77.0,No
1992,88.0,Adventures in Dinosaur City,Action,"Katz, Omri","Hoffman, Shawn","Thompson, Brett",19.0,No
1987,95.0,The Allnighter,Comedy,"Terlesky, John","Hoffs, Susanna","Hoffs, Tamar Simon",71.0,No
1980,99.0,Caddyshack,Comedy,"Chase, Chevy","Holcomb, Sarah","Ramis, Harold",70.0,No
1973,102.0,Tom Sawyer,Music,"Whitaker, Johnny","Holm, Celeste","Taylor, Don",11.0,No
1987,94.0,"Rita, Sue & Bob Too",Comedy,"Finneran, Siohban","Holmes, Michelle","Clarke, Alan",5.0,No
1947,56.0,Hawk of Powder River,Western,"Dean, Eddie","Holt, Jennifer","Taylor, Ray",61.0,No
1928,148.0,Tempest,Drama,"Barrymore, John","Horn, Camilla","Taylor, Sam",33.0,No
1986,90.0,Running Mates,Drama,"Webb, Greg","Howard, Barbara","Neff, Thomas L.",63.0,No
1987,105.0,Prettykill,Drama,"Birney, David","Hubley, Season","Kaczender, George",71.0,No
1934,80.0,Judge Priest,Drama,"Rogers, Will","Hudson, Rochelle","Ford, John",9.0,No
1950,104.0,Harvey,Comedy,"Stewart, James","Hull, Josephine","Koster, Henry",42.0,No
1991,89.0,If Looks Could Kill,Action,"Grieco, Richard","Hunt, Linda","Wilmington, Michael",10.0,No
1987,94.0,Raising Arizona,Comedy,"Cage, Nicolas","Hunter, Holly","Coen, Joel",23.0,No
1989,114.0,Once Around,Comedy,"Dreyfuss, Richard","Hunter, Holly","Hallström, Lasse",68.0,No
1980,110.0,Loulou,Drama,"Depardieu, Gérard","Huppert, Isabelle","Pialat, Maurice",65.0,No
1982,136.0,The World According to Garp,Drama,"Williams, Robin","Hurt, Mary Beth","Hill, George Roy",59.0,No
1980,106.0,Virus,Science Fiction,"Kennedy, George","Hussey, Olivia","Fukasaku, Kinji",62.0,No
1940,127.0,Northwest Passage,Action,"Tracy, Spencer","Hussey, Ruth","Vidor, King",51.0,No
1987,112.0,Gardens of Stone,Drama,"Caan, James","Huston, Anjelica","Coppola, Francis Ford",27.0,No
1989,121.0,"Enemies, a Love Story",Drama,"Silver, Ron","Huston, Anjelica","Mazursky, Paul",5.0,No
1992,102.0,The Addams Family,Comedy,"Julia, Raul","Huston, Anjelica","Sonnenfeld, B.",8.0,No
1932,65.0,Freaks,Horror,"Ford, Wallace","Hyams, Leila","Browning, Tod",61.0,No
1991,108.0,Necessary Roughness,Comedy,"Bakula, Scott","Ireland, Kathy","Dragoti, Stan",60.0,No
1990,93.0,A Show of Force,Drama,"Garcia, Andy","Irving, Amy","Barreto, Bruno",1.0,No
1980,129.0,The Competition,Drama,"Dreyfuss, Richard","Irving, Amy","Oliansky, Joel",45.0,No
1988,97.0,Crossing Delancey,Comedy,"Riegert, Peter","Irving, Amy","Silver, Joan Micklin",6.0,No
1982,120.0,The State of Things,Drama,"Kime, Jeffrey",Isabelle Weingarten.,"Wenders, Wim",73.0,No
1987,89.0,Business As Usual,Comedy,"Thaw, John","Jackson, Glenda","Barrett, Lezli-An",17.0,No
1973,103.0,A Touch of Class,Comedy,"Segal, George","Jackson, Glenda","Frank, Melvin",79.0,Yes
1970,129.0,Women in Love.,Drama,"Bates, Alan","Jackson, Glenda","Russell, Ken",18.0,No
1988,89.0,Salome's Last Dance,Comedy,"Johns, Stratford","Jackson, Glenda","Russell, Ken",76.0,No
1986,100.0,Casino,Mystery,"Connors, Mike","Jackson, Sherry","Chaffey, Don",5.0,No
1955,108.0,Smiles of a Summer Night,Comedy,"Björnstrand, Gunnar","Jacobsson, Ulla","Bergman, Ingmar",58.0,No
1989,90.0,New Year's Day,Comedy,"Jaglom, Henry","Jakobsen, Maggie","Jaglom, Henry",88.0,No
1981,132.0,Mephisto,Drama,"Brandauer, Klaus Maria","Janda, Krystyna","Szabó, István",80.0,Yes
1927,60.0,Easy Virtue,Mystery,"Dyall, Franklin","Jeans, Isabel","Hitchcock, Alfred",45.0,No
1937,59.0,Swing It Sailor!,Comedy,"Ford, Wallace","Jewell, Isabel",Unknown,6.0,No
1991,83.0,Strictly Business,Comedy,"Davidson, Tommy","Johnson, Anne-Marie","Hooks, Kevin",3.0,No
1983,90.0,Blame It on Rio,Comedy,"Caine, Michael","Johnson, Michelle","Donen, Stanley",10.0,No
1987,86.0,Straight to Hell,Action,"Hopper, Dennis","Jones, Grace","Cox, Alex",47.0,No
1990,131.0,A View to a Kill,Action,"Moore, Roger","Jones, Grace",Unknown,44.0,No
1986,100.0,American Anthem,Drama,"Gaylord, Mitch","Jones, Janet","Magnoli, Albert",74.0,No
1963,99.0,Bedtime Story,Comedy,"Brando, Marlon","Jones, Shirley","Levy, Ralph",7.0,No
1991,117.0,The Courtship of Eddie's Father,Comedy,"Howard, Ron","Jones, Shirley",Unknown,43.0,No
1988,102.0,"Night Train to Katmandu, THe",Action,"Roberts, Pernell","Jovovich, Milla","Wiemer, Robert",43.0,No
1948,100.0,Port of Call,Drama,"Eklund, Bengt","Jönsson, Nine-Christine","Bergman, Ingmar",29.0,No
1973,103.0,Paper Moon,Comedy,"O'Neal, Ryan","Kahn, Madeline","Bogdanovich, Peter",3.0,Yes
1983,97.0,Yellowbeard,Comedy,"Chapman, Graham","Kahn, Madeline","Damski, Mel",34.0,No
1975,91.0,Adventures of Sherlock Holmes' Smarter,Comedy,"Wilder, Gene","Kahn, Madeline","Wilder, Gene",42.0,No
1990,108.0,Flashback,Comedy,"Hopper, Dennis","Kane, Carol","Amurri, Franco",19.0,No
1977,89.0,The World's Greatest Lover,Comedy,"Wilder, Gene","Kane, Carol","Wilder, Gene",42.0,No
1955,67.0,Killer's Kiss,Mystery,"Silvera, Frank","Kane, Irene","Kubrick, Stanley",66.0,No
1988,103.0,The Deceivers,Action,"Brosnan, Pierce","Kapoor, Shashi","Meyer, Nicholas",14.0,No
1983,97.0,Breathless,Action,"Gere, Richard","Kaprisky, Valerie","McBride, Jim",51.0,No
1989,145.0,Born on the Fourth of July,Drama,"Cruise, Tom","Kava, Caroline","Stone, Oliver",8.0,Yes
1991,120.0,Awakenings,Drama,"De Niro, Robert","Kavner, Julie","Marshall, Penny",8.0,No
1977,94.0,Annie Hall,Comedy,"Allen, Woody","Keaton, Diane","Allen, Woody",68.0,Yes
1979,96.0,Manhattan,Comedy,"Allen, Woody","Keaton, Diane","Allen, Woody",82.0,Yes
1981,195.0,Reds,Drama,"Beatty, Warren","Keaton, Diane","Beatty, Warren",76.0,Yes
1986,105.0,Crimes of the Heart,Comedy,"Shepard, Sam","Keaton, Diane","Beresford, Bruce",84.0,No
1977,136.0,Looking for Mr. Goodbar,Drama,"Atherton, William","Keaton, Diane","Brooks, Richard",54.0,No
1972,175.0,The Godfather,Drama,"Brando, Marlon","Keaton, Diane","Coppola, Francis Ford",8.0,Yes
1974,201.0,"The Godfather, Pt 2.",Drama,"Pacino, Al","Keaton, Diane","Coppola, Francis Ford",8.0,Yes
1976,109.0,"I Will, I Will...For Now",Comedy,"Gould, Elliott","Keaton, Diane","Panama, Norman",6.0,No
1972,86.0,"Play It Again, Sam",Comedy,"Allen, Woody","Keaton, Diane","Ross, Herbert",81.0,No
1975,82.0,Love & Death,Comedy,"Allen, Woody","Keaton, Diane",Unknown,84.0,No
1973,88.0,Sleeper,Comedy,"Allen, Woody","Keaton, Diane",Unknown,59.0,No
1970,130.0,Fellini Satyricon,Drama,"Potter, Martin","Keller, Hiram","Fellini, Federico",88.0,No
1980,117.0,The Formula,Mystery,"Scott, George C.","Keller, Marthe","Avildsen, John G.",82.0,No
1977,143.0,Black Sunday,Drama,"Shaw, Robert","Keller, Marthe","Frankenheimer, John",76.0,No
1977,124.0,Bobby Deerfield,Drama,"Pacino, Al","Keller, Marthe","Pollack, Sydney",36.0,No
1972,98.0,Last of the Red Hot Lovers,Comedy,"Arkin, Alan","Kellerman, Sally","Saks, Gene",40.0,No
1953,116.0,Mogambo,Action,"Gable, Clark","Kelly, Grace","Ford, John",71.0,No
1955,103.0,To Catch a Thief,Mystery,"Grant, Cary","Kelly, Grace","Hitchcock, Alfred",69.0,No
1954,113.0,Rear Window,Mystery,"Stewart, James","Kelly, Grace","Hitchcock, Alfred",25.0,No
1945,69.0,Woman Who Came Back,Drama,"Kruger, Otto","Kelly, Nancy","Colmes, Walter",26.0,No
1939,101.0,Stanley & Livingstone,Action,"Tracy, Spencer","Kelly, Nancy","King, Henry",11.0,No
1956,129.0,The Bad Seed,Horror,"Jones, Henry","Kelly, Nancy","LeRoy, Mervyn",69.0,No
1989,113.0,Lethal Weapon 2,Action,"Gibson, Mel","Kensit, Patsy","Donner, Richard",69.0,No
1992,79.0,Blame It on the Bellboy,Comedy,"Moore, Dudley","Kensit, Patsy","Herman, Mark",69.0,No
1927,62.0,The Drop Kick,Drama,"Barthelmess, Richard","Kent, Barbara","Webb, Millard",50.0,No
1978,145.0,The Superman Movie,Action,"Brando, Marlon","Kidder, Margot","Donner, Richard",87.0,No
1987,90.0,Superman IV: The Quest for Peace,Action,"Reeve, Christopher","Kidder, Margot","Furie, Sidney J.",77.0,No
1970,90.0,Quackser Fortune Has a Cousin in the Bronx,Comedy,"Wilder, Gene","Kidder, Margot","Waris, Hussein",49.0,No
1989,96.0,Dead Calm,Mystery,"Neill, Sam","Kidman, Nicole","Noyce, Phillip",1.0,No
1990,107.0,Days of Thunder,Action,"Cruise, Tom","Kidman, Nicole","Scott, Tony",3.0,No
1987,101.0,My Life As a Dog,Comedy,"Glanzelius, Anton","Kinnaman, Melinda","Hallström, Lasse",21.0,No
1983,120.0,The Moon in the Gutter,Action,"Depardieu, Gérard","Kinski, Nastassia","Beineix, Jean-Jacques",29.0,No
1984,150.0,"Paris, Texas",Drama,"Stanton, Harry Dean","Kinski, Nastassia","Wenders, Wim",27.0,No
1984,96.0,Unfaithfully Yours,Comedy,"Moore, Dudley","Kinski, Nastassia","Zieff, Howard",73.0,No
1987,95.0,Bullseye!,Comedy,"Caine, Michael","Kirkland, Sally","Winner, Michael",8.0,No
1989,104.0,Erik the Viking,Action,"Robbins, Tim","Kitt, Eartha","Jones, Terry",25.0,No
1987,90.0,Dragonard,Drama,"Reed, Oliver","Kitt, Eartha","Kikoine, Gerard",71.0,No
1986,90.0,Hard Choices,Drama,"McCleery, Gary","Klenck, Margaret","King, Rick",41.0,No
1969,102.0,The Rain People,Drama,"Caan, James","Knight, Shirley","Coppola, Francis Ford",78.0,No
1984,106.0,A Year of the Quiet Sun,Drama,"Wilson, Scott","Komorowska, Maja","Zanussi, Krzystoff",78.0,No
1935,54.0,The Desert Trail,Western,"Wayne, John","Kornman, Mary","Collins, Lewis D.",50.0,No
1990,98.0,Almost an Angel,Comedy,"Hogan, Paul","Kozlowski, Linda","Cornell, John",14.0,No
1986,98.0,Crocodile Dundee,Comedy,"Hogan, Paul","Kozlowski, Linda","Faiman, Peter",66.0,No
1977,127.0,The American Friend,Mystery,"Hopper, Dennis","Kreuzer, Lisa","Wenders, Wim",35.0,No
1989,119.0,See You in the Morning,Drama,"Bridges, Jeff","Krige, Alice","Pakula, Alan J.",53.0,No
1987,88.0,The Arrogant,Drama,"Graham, Gary","Kristel, Sylvia","Blot, Philippe",62.0,No
1989,86.0,Dracula's Widow,Horror,"Sommer, Josef","Kristel, Sylvia","Coppola, Christopher",55.0,No
1987,90.0,Ninja Masters of Death,Action,"Peterson, Chris","Kruize, Kelly","Lambert, Bruce",15.0,No
1990,110.0,Mystery Train,Comedy,"Nagase, Masatoshi","Kudoh, Youki","Jarmusch, Jim",23.0,No
1978,114.0,Go Tell the Spartans,War,"Lancaster, Burt","Kumagai, Denice","Post, Ted",67.0,No
1986,89.0,True Stories,Comedy,"Goodman, John","Kurtz, Swoosie","Byrne, David",79.0,No
1953,94.0,Ugetsu Monogatari,Drama,"Mori, Masayuki","Kyô, Machiki","Mizoguchi, Kenji",82.0,No
1969,80.0,Rebel Rousers,Action,"Nicholson, Jack","Ladd, Diane","Cohen, Martin B.",44.0,No
1988,98.0,Plain Clothes,Comedy,"Howard, Arliss","Ladd, Diane","Coolidge, Martha",4.0,No
1981,119.0,"Whose Life Is It, Anyway?",Drama,"Dreyfuss, Richard","Lahti, Christine","Badham, John",62.0,No
1988,116.0,Running on Empty,Drama,"Hirsch, Judd","Lahti, Christine","Lumet, Sidney",2.0,No
1990,101.0,Funny about Love,Comedy,"Wilder, Gene","Lahti, Christine","Nimoy, Leonard",60.0,No
1985,118.0,The A Chorus Line Movie,Music,"Douglas, Michael","Landers, Audrey","Attenborough, Richard",71.0,No
1986,84.0,Stewardess School,Comedy,"Most, Donald","Landers, Judy","Blancato, Ken",28.0,No
1987,109.0,The Big Town,Drama,"Dillon, Matt","Lane, Diane","Bolt, Ben",11.0,No
1983,94.0,Rumble Fish,Drama,"Dillon, Matt","Lane, Diane","Coppola, Francis Ford",4.0,No
1983,91.0,The Outsiders,Drama,"Howell, C. Thomas","Lane, Diane","Coppola, Francis Ford",56.0,No
1990,94.0,Priceless Beauty,Science Fiction,"Lambert, Christopher","Lane, Diane","Finch, Charles",7.0,No
1989,93.0,Streets of Fire,Action,"Paré, Michael","Lane, Diane","Hill, Walter",65.0,No
1990,115.0,Men Don't Leave,Drama,"Howard, Arliss","Lange, Jessica","Brickman, Paul",66.0,No
1988,127.0,Everybody's All American,Romance,"Quaid, Dennis","Lange, Jessica","Hackford, Taylor",62.0,No
1992,128.0,Cape Fear,Mystery,"De Niro, Robert","Lange, Jessica","Scorsese, Martin",7.0,No
1992,121.0,The Postman Always Rings Twice,Mystery,"Nicholson, Jack","Lange, Jessica",Unknown,24.0,No
1949,58.0,Crashing Thru,Western,"Wilson, Whip","Larson, Christine","Taylor, Ray",19.0,No
1978,109.0,Get Out Your Handkerchiefs,Comedy,"Depardieu, Gérard","Laure, Carole","Blier, Bertrand",78.0,Yes
1971,137.0,"Boy Friend, THe",Music,"Gable, Christopher","Lawson, Twiggy","Russell, Ken",8.0,No
1990,100.0,Hard To Kill,Action,"Seagal, Steven","LeBrock, Kelly","Malmuth, Bruce",49.0,No
1960,109.0,Psycho,Horror,"Perkins, Anthony","Leigh, Janet","Hitchcock, Alfred",56.0,No
1957,112.0,Jet Pilot,Action,"Wayne, John","Leigh, Janet","Sternberg, Josef von",43.0,No
1987,95.0,Under Cover,Mystery,"Neidorf, David","Leigh, Jennifer Jason","Stockwell, John",36.0,No
1951,122.0,A Streetcar Named Desire,Drama,"Brando, Marlon","Leigh, Vivien","Kazan, Elia",75.0,Yes
1986,93.0,The Golden Child,Comedy,"Murphy, Eddie","Lewis, Charlotte","Ritchie, Michael",86.0,No
1971,84.0,The Statue,Drama,"Niven, David","Lisi, Virna","Amateau, Rod",80.0,No
1985,128.0,Christopher Columbus,Drama,"Byrne, Gabriel","Lisi, Virna","Lattuada, Alberto",69.0,No
1989,116.0,In Country,Drama,"Willis, Bruce","Lloyd, Emily","Jewison, Norman",76.0,No
1978,132.0,The Wild Geese,Action,"Burton, Richard","Lloyd, Rosalind","McLaglen, Andrew V.",21.0,No
1974,90.0,The Second Coming of Suzanne.,Drama,"Dreyfuss, Richard","Locke, Sondra","Barry, Michael",21.0,No
1980,116.0,Bronco Billy,Westerns,"Eastwood, Clint","Locke, Sondra","Eastwood, Clint",57.0,No
1977,109.0,The Gauntlet,Action,"Eastwood, Clint","Locke, Sondra","Eastwood, Clint",18.0,No
1986,105.0,Ratboy,Drama,"Townsend, Robert","Locke, Sondra","Locke, Sondra",1.0,No
1938,96.0,Lady Vanishes,Mystery,"Redgrave, Michael","Lockwood, Margaret","Hitchcock, Alfred",27.0,No
1987,95.0,"Kitchen Toto, THe",Drama,"Peck, Bob","Logan, Phyllis","Hook, Harry",41.0,No
1959,88.0,Carlton-Browne of the F.O.,Comedy,Terry-Thomas,"Lohr, Marie","Boulting, Roy",63.0,No
1929,68.0,Racketeer,Drama,"Armstrong, Robert","Lombard, Carole","Higgin, Howard",2.0,No
1941,95.0,Mr. & Mrs. Smith,Comedy,"Montgomery, Robert","Lombard, Carole","Hitchcock, Alfred",3.0,No
1986,132.0,Alrededor de Medianoche,Drama,Francois Cluzet,Lonette McKee,"Rayfield, David",47.0,No
1982,101.0,Losin' It,Comedy,"Cruise, Tom","Long, Shelley","Hanson, Curtis",4.0,No
1987,114.0,Into the Homeland,Action,"Boothe, Powers","Longstreth, Emily","Glatter, Lesli Linka",34.0,No
1991,60.0,Boxing Babes,Action,"Nichol, Robin","Lords, Traci","Dell, Stewart",9.0,No
1991,94.0,Shock 'em Dead,Horror,"Donahue, Troy","Lords, Traci","Freed, Mark",31.0,No
1960,101.0,Heller in Pink Tights,Drama,"Quinn, Anthony","Loren, Sophia","Cukor, George",52.0,No
1961,100.0,Two Women,Drama,"Belmondo, Jean-Paul","Loren, Sophia","De Sica, Vittorio",83.0,Yes
1954,107.0,The Gold of Naples,Drama,"De Sica, Vittorio","Loren, Sophia","De Sica, Vittorio",40.0,No
1963,118.0,"Yesterday, Today & Tomorrow",Comedy,"Mastroianni, Marcello","Loren, Sophia","De Sica, Vittorio",73.0,Yes
1957,109.0,Legend of the Lost,Action,"Wayne, John","Loren, Sophia","Hathaway, Henry",84.0,No
1978,111.0,Brass Target,Action,"Cassavetes, John","Loren, Sophia","Hough, John",53.0,No
1964,188.0,The Fall of the Roman Empire,Drama,"Boyd, Stphen","Loren, Sophia","Mann, Anthony",62.0,No
1961,172.0,El Cid,Drama,"Heston, Charlton","Loren, Sophia","Mann, Anthony",10.0,No
1958,114.0,Desire under the Elms,Drama,"Perkins, Anthony","Loren, Sophia","Mann, Delbert",13.0,No
1953,92.0,Two Nights with Cleo,Drama,"Sordi, Alberto","Loren, Sophia","Mattoli, Mario",54.0,No
1959,120.0,The Black Orchid,Drama,"Quinn, Anthony","Loren, Sophia","Ritt, Martin",54.0,No
1977,91.0,Angela,Drama,"Railsback, Steve","Loren, Sophia","Sagal, Boris",80.0,No
1977,105.0,A Special Day,Drama,"Mastroianni, Marcello","Loren, Sophia","Scola, Ettore",80.0,Yes
1979,112.0,Blood Feud,Action,"Mastroianni, Marcello","Loren, Sophia","Wertmuller, Lina",52.0,No
1991,145.0,"Sophia Loren, Her Own Story",Drama,"Gavin, John","Loren, Sophia",Unknown,49.0,No
1990,120.0,Running Away,Drama,"Loggia, Robert","Loren, Sophia",Unknown,2.0,No
1991,130.0,Man of La Mancha,Music,"O'Toole, Peter","Loren, Sophia",Unknown,55.0,No
1992,116.0,Operation Crossbow,Action,"Peppard, George","Loren, Sophia",Unknown,1.0,No
1986,141.0,Courage,Drama,"Williams, Billy Dee","Loren, Sophia",Unknown,56.0,No
1986,94.0,RAD,Action,"Allen, Bill","Loughlin, Lori","Needham, Hal",75.0,No
1992,98.0,Secret Admirer,Comedy,"Howell, C. Thomas","Loughlin, Lori",Unknown,55.0,No
1979,85.0,Cocaine Cowboys,Action,"Palance, Jack","Love, Suzanna","Lommel, Ulli",17.0,No
1991,118.0,Test Pilot,Drama,"Gable, Clark","Loy, Myrna",Unknown,13.0,No
1943,64.0,The Ape Man,Horror,"Ford, Wallace","Lugosi, Bela","Beaudine, William",83.0,No
1986,125.0,The Mission,Drama,"De Niro, Robert","Lunghi, Cherie","Joffe, Roland",20.0,No
1991,102.0,Curly Sue,Comedy,"Belushi, Jim","Lynch, Kelly","Hughes, John",2.0,No
1962,150.0,Lolita,Drama,"Mason, James","Lyon, Sue","Kubrick, Stanley",80.0,No
1989,101.0,"Sex, Lies, and Videotape",Drama,"Spader, James","MacDowell, Andie","Soderbergh, Steven",70.0,Yes
1990,107.0,Green Card,Comedy,"Depardieu, Gérard","MacDowell, Andie","Weir, Peter",25.0,No
1988,95.0,Gator Bait II,Action,"Muzzcat, Paul","MacKenzie, Jan","Sebastian, Beverly",73.0,No
1979,129.0,Being There,Comedy,"Sellers, Peter","MacLaine, Shirley","Ashby, Hal",31.0,Yes
1983,132.0,Terms of Endearment,Drama,"Nicholson, Jack","MacLaine, Shirley","Brooks, James L.",32.0,Yes
1967,99.0,Woman Times Seven,Comedy,"Sellers, Peter","MacLaine, Shirley","De Sica, Vittorio",36.0,No
1968,120.0,The Bliss of Mrs. Blossom,Comedy,"Booth, James","MacLaine, Shirley","McGrath, Joseph",86.0,No
1990,101.0,Postcards from the Edge,Comedy,"Quaid, Dennis","MacLaine, Shirley","Nichols, Mike",63.0,No
1970,105.0,Two Mules for Sister Sara,Western,"Eastwood, Clint","MacLaine, Shirley","Siegel, Don",36.0,No
1992,84.0,Dragonfight,Drama,"Z'Dar, Robert","MacLaren, Fawna",Unknown,71.0,No
1939,85.0,Back Door to Heaven,Drama,"Ford, Wallace","MacMahon, Aline","Howard, William K.",83.0,No
1988,100.0,"Ciao Italia, Madonna Live from Italy",Music,Unknown,Madonna,"De Winter, Harry",74.0,No
1991,118.0,"Madonna, Truth or Dare",Music,Unknown,Madonna,"Keshishian, Alek",54.0,No
